iter	Passed	Remaining
1502	16851	1104354
1503	16861	1104241
1504	16873	1104246
1505	16882	1104149
1506	16892	1104039
1507	16903	1103993
1508	16913	1103910
1509	16924	1103864
1510	16933	1103755
1511	16943	1103637
1512	16953	1103586
1513	16964	1103506
1514	16973	1103385
1515	16982	1103212
1516	16991	1103041
1517	17000	1102935
1518	17011	1102918
1519	17023	1102960
1520	17035	1102948
1521	17045	1102885
1522	17055	1102783
1523	17066	1102782
1524	17076	1102676
1525	17086	1102584
1526	17096	1102531
1527	17107	1102503
