iter	Passed	Remaining
361	4286	1179688
362	4297	1179442
363	4308	1179293
364	4320	1179323
365	4330	1178804
366	4341	1178700
367	4355	1179096
368	4367	1179184
369	4376	1178403
370	4386	1178004
371	4397	1177782
372	4408	1177407
373	4418	1177093
374	4429	1176810
375	4439	1176263
376	4451	1176219
377	4461	1175921
378	4472	1175614
379	4483	1175300
380	4493	1174936
381	4505	1174870
382	4518	1175261
383	4532	1175782
384	4545	1176000
385	4559	1176597
386	4570	1176339
387	4582	1176403
388	4593	1176142
389	4602	1175636
390	4613	1175330
391	4623	1174869
392	4634	1174496
393	4645	1174348
394	4657	1174389
395	4666	1173831
396	4679	1174111
397	4693	1174520
398	4704	1174407
399	4715	1174114
400	4728	1174484
401	4741	1174652
402	4753	1174749
403	4766	1174969
404	4777	1174755
405	4788	1174511
406	4798	1174146
407	4810	1174122
408	4820	1173749
409	4831	1173605
410	4844	1173812
411	4857	1174127
412	4868	1173987
413	4879	1173849
414	4890	1173482
415	4902	1173550
416	4913	1173395
417	4924	1173139
418	4935	1173063
419	4947	1172928
420	4957	1172493
421	4969	1172627
422	4980	1172420
423	4990	1172043
424	5002	1172015
425	5013	1171862
426	5024	1171603
427	5034	1171296
428	5044	1170876
429	5055	1170595
430	5065	1170202
431	5079	1170623
432	5092	1171072
433	5106	1171517
434	5121	1172146
435	5134	1172531
436	5147	1172752
437	5158	1172456
438	5168	1172068
439	5178	1171759
440	5190	1171691
441	5199	1171221
442	5210	1170922
443	5220	1170658
444	5230	1170175
445	5240	1169690
446	5251	1169593
447	5262	1169357
448	5273	1169177
449	5283	1168710
450	5294	1168716
451	5304	1168221
452	5315	1168068
453	5325	1167752
454	5336	1167614
455	5347	1167427
456	5358	1167245
457	5368	1166720
458	5378	1166350
459	5388	1165989
460	5397	1165361
461	5408	1165162
462	5417	1164743
463	5428	1164500
464	5438	1164013
465	5446	1163391
466	5456	1163000
467	5466	1162568
468	5477	1162388
469	5486	1161940
470	5496	1161513
471	5507	1161226
472	5518	1161225
473	5529	1160982
474	5542	1161296
475	5553	1161101
476	5563	1160740
477	5573	1160355
478	5582	1159924
479	5592	1159563
480	5603	1159262
481	5612	1158767
482	5622	1158386
483	5631	1157883
484	5643	1158052
485	5660	1159132
486	5674	1159554
487	5686	1159544
488	5700	1160122
489	5714	1160477
490	5725	1160338
491	5735	1159992
492	5745	1159610
493	5754	1159160
494	5764	1158766
495	5774	1158498
496	5785	1158241
497	5794	1157809
498	5805	1157563
499	5815	1157347
500	5825	1156963
501	5835	1156517
502	5846	1156455
503	5857	1156347
504	5866	1155886
505	5876	1155435
506	5886	1155096
507	5896	1154742
508	5908	1154895
509	5918	1154638
510	5930	1154554
511	5941	1154447
512	5950	1153989
513	5960	1153731
514	5970	1153396
515	5981	1153209
516	5993	1153276
517	6004	1153108
518	6014	1152931
519	6025	1152738
520	6036	1152594
521	6046	1152260
522	6056	1151955
523	6065	1151523
524	6076	1151389
525	6086	1151013
526	6096	1150773
527	6106	1150464
528	6115	1150007
529	6127	1149955
530	6138	1149950
531	6148	1149553
532	6158	1149336
533	6169	1149094
534	6178	1148747
535	6188	1148396
536	6198	1148038
537	6207	1147672
538	6218	1147473
539	6228	1147206
540	6247	1148587
541	6261	1148962
542	6281	1150604
543	6301	1152017
544	6312	1151972
545	6324	1151997
546	6335	1151876
547	6346	1151690
548	6363	1152816
549	6374	1152558
550	6384	1152309
551	6394	1152035
552	6404	1151683
553	6414	1151357
554	6423	1151033
555	6434	1150860
556	6446	1150893
557	6456	1150641
558	6467	1150586
559	6479	1150474
560	6489	1150328
561	6499	1150051
562	6511	1150045
563	6522	1149888
564	6533	1149762
565	6543	1149466
566	6554	1149375
567	6564	1149179
568	6574	1148913
569	6585	1148734
570	6595	1148478
571	6606	1148350
572	6617	1148217
573	6627	1148023
574	6638	1147957
575	6652	1148287
576	6664	1148348
577	6676	1148340
578	6686	1148121
579	6696	1147810
580	6706	1147661
581	6717	1147412
582	6727	1147153
583	6737	1146901
584	6746	1146510
585	6758	1146610
586	6769	1146435
587	6781	1146547
588	6792	1146355
589	6801	1146036
590	6812	1145917
591	6826	1146250
592	6841	1146918
593	6855	1147304
594	6868	1147504
595	6881	1147793
596	6891	1147499
597	6902	1147292
598	6912	1147029
599	6923	1146912
600	6933	1146659
601	6947	1147061
602	6960	1147393
603	6973	1147520
604	6984	1147508
605	6994	1147281
606	7006	1147272
607	7016	1146975
608	7026	1146686
609	7035	1146296
610	7044	1145962
611	7055	1145774
612	7065	1145538
613	7075	1145217
614	7086	1145254
615	7097	1145141
616	7107	1144824
617	7117	1144593
618	7128	1144403
619	7138	1144198
620	7160	1145941
621	7171	1145834
622	7182	1145703
623	7192	1145380
624	7201	1145091
625	7210	1144671
626	7221	1144558
627	7234	1144692
628	7245	1144700
629	7276	1147646
630	7284	1147219
631	7294	1146848
632	7303	1146438
633	7322	1147574
634	7331	1147196
635	7340	1146794
636	7349	1146434
637	7360	1146283
638	7370	1146020
639	7396	1148244
640	7408	1148382
641	7420	1148400
642	7431	1148344
643	7445	1148599
644	7457	1148794
645	7468	1148654
646	7478	1148399
647	7488	1148186
648	7499	1147981
649	7510	1147887
650	7519	1147588
651	7529	1147247
652	7540	1147208
653	7550	1146937
654	7562	1146954
655	7571	1146637
656	7582	1146455
657	7591	1146140
658	7602	1145977
659	7611	1145630
660	7621	1145403
661	7633	1145443
662	7644	1145303
663	7654	1145173
664	7665	1144960
665	7676	1144950
666	7686	1144703
667	7695	1144371
668	7706	1144177
669	7716	1143958
670	7726	1143752
671	7739	1143965
672	7752	1144207
673	7763	1144120
674	7774	1143948
675	7783	1143632
676	7793	1143313
677	7802	1143055
678	7812	1142753
679	7825	1142990
680	7835	1142755
681	7845	1142467
682	7853	1142046
683	7863	1141773
684	7872	1141453
685	7882	1141187
686	7893	1141091
687	7904	1141028
688	7915	1140867
689	7925	1140758
690	7936	1140668
691	7947	1140514
692	7960	1140777
693	7970	1140574
694	7986	1141170
695	8002	1141721
696	8016	1142084
697	8034	1143092
698	8049	1143545
699	8063	1143839
700	8075	1143884
701	8085	1143694
702	8096	1143627
703	8107	1143557
704	8118	1143360
705	8130	1143436
706	8143	1143650
707	8153	1143403
708	8166	1143652
709	8179	1143851
710	8191	1143873
711	8209	1144747
712	8221	1144818
713	8234	1145073
714	8252	1145996
715	8265	1146084
716	8277	1146185
717	8289	1146208
718	8301	1146249
719	8312	1146217
720	8323	1146120
721	8334	1145974
722	8345	1145940
723	8355	1145722
724	8365	1145426
725	8374	1145165
726	8384	1144856
727	8394	1144697
728	8406	1144695
729	8418	1144806
730	8429	1144698
731	8440	1144607
732	8451	1144483
733	8461	1144319
734	8471	1144120
735	8482	1144068
736	8492	1143839
737	8502	1143586
738	8513	1143513
739	8523	1143282
740	8534	1143258
741	8546	1143218
742	8561	1143662
743	8574	1143869
744	8595	1145126
745	8614	1146127
746	8625	1145986
747	8636	1145915
748	8648	1146012
749	8658	1145839
750	8669	1145707
751	8680	1145597
752	8690	1145442
753	8700	1145238
754	8710	1145025
755	8722	1145001
756	8734	1145139
757	8746	1145165
758	8757	1145041
759	8768	1145030
760	8780	1144980
761	8789	1144724
762	8799	1144473
763	8809	1144309
764	8820	1144110
765	8829	1143838
766	8839	1143618
767	8850	1143523
768	8860	1143307
769	8869	1142993
770	8879	1142761
771	8888	1142480
772	8897	1142173
773	8907	1141897
774	8917	1141777
775	8928	1141695
776	8939	1141531
777	8949	1141301
778	8960	1141252
779	8970	1141134
780	8980	1140854
781	8991	1140771
782	9002	1140684
783	9013	1140665
784	9025	1140724
785	9035	1140548
786	9045	1140288
787	9055	1140119
788	9065	1139904
789	9075	1139735
790	9087	1139763
791	9096	1139497
792	9107	1139361
793	9117	1139154
794	9126	1138897
795	9157	1141210
796	9169	1141311
797	9181	1141370
798	9206	1143077
799	9223	1143695
800	9236	1143892
801	9250	1144135
802	9266	1144673
803	9276	1144524
804	9288	1144592
805	9299	1144443
806	9308	1144199
807	9319	1144019
808	9330	1143971
809	9341	1143930
810	9355	1144172
811	9367	1144284
812	9378	1144151
813	9388	1143978
814	9398	1143738
815	9408	1143537
816	9418	1143400
817	9428	1143158
818	9439	1143065
819	9449	1142914
820	9459	1142668
821	9468	1142352
822	9478	1142245
823	9488	1142064
824	9499	1141920
825	9508	1141680
826	9518	1141469
827	9528	1141294
828	9538	1141035
829	9549	1140961
830	9559	1140839
831	9571	1140818
832	9584	1140981
833	9597	1141170
834	9617	1142140
835	9630	1142382
836	9659	1144391
837	9672	1144508
838	9686	1144833
839	9704	1145594
840	9717	1145794
841	9731	1145967
842	9744	1146125
843	9759	1146570
844	9774	1146986
845	9787	1147162
846	9801	1147368
847	9812	1147255
848	9822	1147170
849	9834	1147159
850	9843	1146900
851	9854	1146738
852	9864	1146612
853	9875	1146448
854	9885	1146262
855	9898	1146497
856	9908	1146285
857	9927	1147163
858	9937	1146975
859	9947	1146731
860	9957	1146555
861	9967	1146384
862	9978	1146290
863	9988	1146059
864	9998	1145877
865	10007	1145636
866	10033	1147252
867	10043	1147030
868	10052	1146770
869	10062	1146589
870	10071	1146280
871	10081	1146032
872	10092	1145956
873	10103	1145939
874	10118	1146288
875	10131	1146418
876	10146	1146772
877	10157	1146684
878	10167	1146516
879	10178	1146411
880	10188	1146302
881	10202	1146537
882	10214	1146543
883	10225	1146457
884	10234	1146230
885	10245	1146131
886	10256	1146004
887	10265	1145797
888	10275	1145562
889	10285	1145363
890	10297	1145404
891	10309	1145470
892	10324	1145834
893	10336	1145824
894	10348	1145871
895	10359	1145847
896	10369	1145654
897	10380	1145537
898	10391	1145508
899	10402	1145404
900	10411	1145128
901	10421	1144909
902	10431	1144806
903	10442	1144705
904	10452	1144470
905	10461	1144171
906	10469	1143855
907	10480	1143729
908	10492	1143767
909	10504	1143780
910	10513	1143528
911	10528	1143874
912	10539	1143819
913	10548	1143569
914	10559	1143456
915	10569	1143334
916	10582	1143397
917	10591	1143165
918	10601	1142928
919	10610	1142742
920	10621	1142615
921	10631	1142435
922	10640	1142203
923	10650	1142006
924	10660	1141762
925	10671	1141707
926	10681	1141592
927	10692	1141456
928	10702	1141328
929	10713	1141229
930	10724	1141209
931	10734	1141043
932	10744	1140833
933	10754	1140634
934	10764	1140539
935	10774	1140368
936	10788	1140562
937	10797	1140356
938	10808	1140231
939	10817	1139918
940	10826	1139682
941	10836	1139492
942	10857	1140542
943	10867	1140356
944	10877	1140141
945	10895	1140803
946	10906	1140800
947	10917	1140752
948	10929	1140732
949	10942	1140836
950	10951	1140571
951	10963	1140636
952	10972	1140430
953	10983	1140283
954	10995	1140378
955	11006	1140281
956	11015	1139997
957	11025	1139893
958	11037	1139873
959	11047	1139705
960	11058	1139620
961	11070	1139662
962	11080	1139556
963	11091	1139419
964	11100	1139177
965	11111	1139111
966	11120	1138889
967	11129	1138648
968	11140	1138491
969	11150	1138369
970	11159	1138109
971	11183	1139358
972	11193	1139236
973	11204	1139136
974	11214	1138940
975	11223	1138729
976	11234	1138611
977	11243	1138420
978	11254	1138281
979	11263	1138083
980	11273	1137918
981	11282	1137664
982	11292	1137507
983	11301	1137259
984	11311	1137093
985	11323	1137056
986	11332	1136810
987	11340	1136519
988	11351	1136421
989	11361	1136260
990	11370	1136001
991	11380	1135793
992	11388	1135518
993	11398	1135284
994	11407	1135046
995	11416	1134807
996	11425	1134577
997	11435	1134404
998	11444	1134123
999	11454	1133990
1000	11465	1133964
1001	11483	1134521
1002	11496	1134737
1003	11511	1135082
1004	11523	1135047
1005	11533	1134896
1006	11543	1134766
1007	11554	1134702
1008	11570	1135115
1009	11584	1135367
1010	11594	1135220
1011	11605	1135154
1012	11616	1135077
1013	11625	1134858
1014	11634	1134615
1015	11644	1134463
1016	11655	1134359
1017	11665	1134263
1018	11675	1134118
1019	11684	1133875
1020	11695	1133741
1021	11705	1133665
1022	11715	1133514
1023	11725	1133368
1024	11735	1133173
1025	11744	1132961
1026	11757	1133060
1027	11771	1133283
1028	11780	1133069
1029	11790	1132867
1030	11799	1132657
1031	11810	1132570
1032	11821	1132572
1033	11830	1132281
1034	11841	1132219
1035	11851	1132058
1036	11860	1131906
1037	11872	1131866
1038	11888	1132359
1039	11898	1132154
1040	11907	1131947
1041	11916	1131729
1042	11925	1131488
1043	11935	1131293
1044	11944	1131069
1045	11954	1130912
1046	11963	1130641
1047	11973	1130493
1048	11984	1130510
1049	11994	1130355
1050	12005	1130239
1051	12014	1130064
1052	12024	1129876
1053	12035	1129849
1054	12046	1129748
1055	12057	1129786
1056	12071	1129927
1057	12083	1129992
1058	12095	1130067
1059	12105	1129875
1060	12114	1129693
1061	12125	1129591
1062	12136	1129609
1063	12150	1129764
1064	12162	1129802
1065	12171	1129623
1066	12182	1129546
1067	12194	1129602
1068	12205	1129514
1069	12214	1129326
1070	12224	1129171
1071	12234	1129003
1072	12244	1128846
1073	12254	1128740
1074	12264	1128573
1075	12274	1128500
1076	12283	1128272
1077	12293	1128110
1078	12303	1127989
1079	12313	1127812
1080	12322	1127616
1081	12333	1127507
1082	12343	1127406
1083	12353	1127224
1084	12362	1127034
1085	12373	1126959
1086	12383	1126837
1087	12393	1126744
1088	12406	1126841
1089	12415	1126631
1090	12425	1126465
1091	12436	1126386
1092	12445	1126233
1093	12455	1126080
1094	12465	1125963
1095	12475	1125795
1096	12484	1125602
1097	12494	1125445
1098	12504	1125268
