iter	MAE	RMSE
104	46436.22393	64725.38924
105	46342.36876	64609.70232
106	46258.05275	64497.66796
107	46167.58312	64379.71838
108	46082.79177	64272.4519
109	45995.25025	64167.87158
110	45902.85995	64051.29651
111	45816.8244	63943.55998
112	45723.10427	63833.78834
113	45630.10541	63725.61051
114	45538.97819	63609.22837
115	45455.76113	63506.74004
116	45369.32567	63399.34576
117	45276.32738	63285.0872
118	45190.81733	63178.34964
119	45100.48678	63070.8542
120	45008.02743	62951.35086
121	44914.14817	62841.65595
122	44830.47189	62732.85234
123	44738.63302	62620.29001
124	44641.39529	62504.93228
125	44550.34849	62391.92691
126	44469.74477	62283.7762
127	44385.67882	62179.50483
128	44294.85072	62073.77286
129	44211.91821	61973.50839
130	44124.26136	61858.04506
131	44048.23065	61756.2362
132	43968.11546	61656.88275
133	43873.99688	61545.90856
134	43785.34932	61434.48054
135	43699.71658	61324.27913
136	43612.99583	61218.18235
137	43534.81732	61117.37278
138	43448.44632	61016.6547
139	43370.31382	60909.80089
140	43292.91401	60816.92816
141	43212.90473	60714.29804
142	43123.32053	60600.4581
143	43036.05777	60496.08395
144	42951.83575	60396.70459
145	42868.81331	60301.76249
146	42792.68336	60204.26756
147	42707.09307	60101.19135
148	42626.36207	59999.76039
149	42539.5465	59898.863
150	42458.01374	59794.94637
151	42378.30335	59694.70585
152	42292.8306	59586.75622
153	42207.86818	59485.18504
154	42130.5917	59383.25919
155	42052.23395	59284.17061
156	41964.52742	59176.57748
157	41894.82749	59085.46081
158	41815.94143	58988.66905
159	41726.52119	58879.39901
160	41640.68006	58777.07817
161	41557.51961	58678.62404
162	41479.12129	58583.06542
163	41414.88888	58506.02829
164	41338.78701	58414.63026
165	41257.58293	58320.44316
166	41182.64716	58231.5234
167	41105.29444	58133.16377
168	41026.8035	58033.69084
169	40944.86454	57931.31553
170	40866.77443	57841.30926
171	40793.45137	57748.34645
172	40716.18847	57646.42137
173	40633.24851	57544.36145
174	40554.00681	57448.78848
175	40476.91526	57356.50956
176	40404.48565	57268.87551
177	40331.73552	57174.46914
178	40257.36182	57082.85612
179	40185.38901	56993.55927
180	40116.32578	56907.85537
181	40043.0511	56815.22369
182	39982.5952	56733.43752
183	39906.37593	56638.79444
184	39833.26858	56550.2814
185	39761.72827	56465.16648
186	39690.41807	56382.82054
187	39630.11765	56303.82143
188	39558.08705	56215.70432
189	39485.05005	56128.54215
190	39414.07378	56043.68543
191	39336.31183	55949.49538
192	39270.19135	55868.06864
193	39196.89703	55783.80982
194	39132.66559	55699.05164
195	39063.78875	55608.58695
196	38995.33184	55524.10078
197	38921.67015	55435.69765
198	38855.04231	55355.50005
199	38792.60299	55278.98738
200	38720.09149	55188.77326
201	38651.63024	55104.43837
202	38579.15414	55015.06527
203	38500.01768	54917.38369
204	38429.41113	54832.9355
205	38361.40697	54745.96724
206	38291.35873	54664.64102
207	38220.40666	54574.41574
208	38160.03757	54498.9785
209	38092.29467	54412.84651
210	38023.9096	54320.08547
211	37957.04658	54237.47034
212	37890.03309	54157.66598
213	37829.17559	54078.5509
214	37763.2046	53993.99391
215	37690.11367	53904.36421
216	37619.22654	53816.87087
217	37553.78604	53735.59876
218	37491.44649	53658.63802
219	37427.35637	53574.53853
220	37364.19676	53498.20353
221	37292.33273	53411.52055
222	37223.75965	53323.27054
223	37154.98587	53239.86356
224	37095.20747	53166.48084
225	37029.07702	53083.13981
226	36964.09227	53002.30116
227	36902.75447	52922.42004
228	36844.248	52847.14151
229	36778.3178	52760.06341
230	36711.1653	52675.55105
231	36644.79378	52588.65174
232	36584.16766	52513.83634
233	36524.39507	52442.31397
234	36460.1834	52363.35114
235	36392.55159	52279.192
236	36328.88421	52198.89732
237	36263.87778	52117.97559
238	36192.65228	52032.21484
239	36132.13214	51957.77232
240	36063.26745	51878.4457
241	35997.27616	51797.4806
242	35932.45803	51719.49554
243	35872.50331	51640.19355
244	35811.04399	51562.75726
245	35751.60953	51491.5482
246	35691.03696	51412.39772
247	35635.47083	51337.74947
248	35575.56042	51261.81844
249	35517.16559	51187.09839
250	35463.22337	51120.27822
251	35397.71646	51042.05344
252	35334.54011	50963.84608
253	35274.14017	50889.95434
254	35213.01387	50813.55696
255	35151.40822	50740.53687
256	35083.10305	50660.15272
257	35021.784	50581.82069
258	34965.71595	50511.92346
259	34909.25378	50442.67222
260	34852.94177	50366.15999
261	34790.3194	50291.35559
262	34732.86563	50220.84061
263	34675.48002	50149.35995
264	34617.4083	50075.74233
265	34549.55323	49991.84267
266	34486.97262	49914.92813
267	34425.75165	49844.11074
268	34369.84483	49772.27367
269	34304.97854	49696.91457
270	34250.87303	49623.76381
271	34189.87124	49551.26978
272	34131.3853	49479.65033
273	34073.82783	49403.5648
274	34010.79962	49324.93878
275	33952.39291	49255.47264
276	33892.96007	49183.94818
277	33832.51243	49109.25176
278	33776.17706	49040.26996
279	33714.67199	48964.55232
280	33662.65312	48901.83145
281	33612.72106	48838.52399
282	33552.53155	48762.37349
283	33500.58842	48691.60635
284	33442.08155	48619.56716
285	33393.3137	48554.39443
286	33339.33192	48486.17265
287	33279.83558	48409.66756
288	33223.49739	48334.37824
289	33171.4023	48265.48926
290	33117.10331	48198.26297
291	33064.83743	48134.19872
292	33009.91243	48066.33219
293	32951.80493	47997.34542
294	32903.34696	47934.70702
295	32848.18626	47869.77658
296	32797.18923	47800.20113
297	32741.12143	47734.24759
298	32687.3239	47666.46877
299	32630.59544	47597.73246
300	32585.69109	47535.77016
301	32536.42736	47472.92719
302	32490.69306	47411.44748
303	32431.64016	47338.59307
304	32374.25671	47273.03857
305	32317.68368	47202.54159
306	32262.61909	47137.84623
307	32210.57473	47072.0358
308	32158.19269	47005.12426
309	32104.16775	46938.67206
310	32054.04964	46867.43073
311	32001.71119	46800.38225
312	31953.62176	46743.83209
313	31907.50969	46680.53901
314	31855.29888	46617.24562
315	31810.62097	46554.27804
316	31761.13388	46490.27975
317	31709.1671	46423.2295
318	31654.86375	46361.15929
319	31611.05694	46307.4941
320	31559.50713	46243.75956
321	31514.15246	46184.9617
322	31463.22524	46121.0741
323	31410.50838	46058.99396
324	31361.73006	46000.67698
325	31319.20714	45946.34263
326	31275.62274	45890.7654
327	31226.12674	45826.88716
328	31180.46765	45766.9904
329	31129.29147	45703.45479
330	31076.42211	45643.63597
331	31023.59827	45578.17128
332	30977.92931	45519.1778
333	30928.88581	45456.85043
334	30886.063	45405.02509
335	30839.08774	45347.09542
336	30792.07779	45290.93699
337	30740.40999	45230.56921
338	30687.29508	45167.32593
339	30640.53781	45109.46861
340	30593.89123	45052.30163
341	30544.08682	44994.29974
342	30503.43554	44939.54189
343	30457.16393	44876.29183
344	30407.66747	44817.85743
345	30361.27817	44757.92463
346	30309.39212	44693.38595
347	30261.28524	44637.70052
348	30212.44429	44575.58749
349	30164.51165	44513.49187
350	30122.40133	44461.3594
351	30081.80569	44410.67755
352	30032.0895	44347.29706
353	29986.83937	44289.46647
354	29942.8313	44234.10672
355	29900.66024	44175.02939
356	29852.34952	44114.75266
357	29804.28089	44054.98779
358	29761.35131	44002.08528
359	29715.95423	43945.13723
360	29668.75879	43882.46509
361	29622.07872	43827.31879
362	29579.01257	43772.30931
363	29533.80129	43711.21744
364	29492.76579	43655.44351
365	29451.03699	43600.40528
366	29411.32692	43548.17892
367	29366.18499	43492.01622
368	29324.19292	43438.18018
369	29281.56631	43382.86255
370	29234.66862	43326.19305
371	29192.24418	43266.742
372	29154.82663	43215.58895
373	29118.06875	43167.44108
374	29074.42089	43114.66739
375	29035.85013	43066.0111
376	28998.48994	43017.63453
377	28956.97425	42961.16418
378	28920.48633	42909.49414
379	28880.02658	42855.06478
380	28837.67395	42798.20353
381	28796.82375	42743.09337
382	28757.67743	42690.01185
383	28715.19883	42637.83345
384	28675.90565	42584.78788
385	28636.75827	42534.63501
386	28593.03275	42484.56989
387	28553.89717	42429.53484
388	28517.98141	42385.8697
389	28473.98944	42326.63495
390	28430.47956	42273.53302
391	28391.98975	42228.9437
392	28348.48406	42171.30228
393	28312.17011	42122.33361
394	28270.93627	42071.66368
395	28230.72554	42017.2142
396	28191.36099	41967.45611
397	28151.68356	41916.52935
398	28110.70793	41865.67828
399	28077.34488	41820.49857
400	28040.04848	41771.89335
401	28004.31581	41721.70433
402	27971.22658	41674.24162
403	27938.70467	41628.14783
404	27899.33821	41577.43069
405	27862.75459	41530.23271
406	27825.41988	41484.06932
407	27785.47792	41432.89792
408	27745.23235	41381.51108
409	27711.85902	41335.88565
410	27673.96624	41287.29338
411	27634.21556	41236.71514
412	27593.62368	41184.32475
413	27555.03416	41137.79372
414	27520.59281	41088.00506
415	27490.68164	41047.58452
416	27456.74294	41004.04638
417	27420.36058	40957.08517
418	27387.03809	40910.70528
419	27355.58082	40864.73263
420	27325.85472	40821.23858
421	27296.56724	40780.84506
422	27258.58969	40731.10002
423	27222.22599	40683.61012
424	27187.4277	40639.87895
425	27145.98433	40588.83216
426	27115.14961	40543.39849
427	27077.58161	40495.83793
428	27039.99126	40440.87015
429	27002.55645	40391.74009
430	26964.20686	40344.29806
431	26924.0532	40293.25421
432	26887.25237	40242.58236
433	26854.35151	40202.1099
434	26823.40048	40159.10624
435	26786.10022	40109.73771
436	26755.4788	40066.48257
437	26722.00758	40021.78306
438	26689.56598	39976.46042
439	26662.78342	39934.88072
440	26633.73022	39894.80828
441	26601.85868	39853.99853
442	26573.91741	39813.32617
443	26539.60409	39771.50349
444	26508.4331	39732.70729
445	26472.81471	39689.2401
446	26437.00104	39644.30341
447	26406.03631	39603.59675
448	26372.40176	39555.04891
449	26341.34152	39513.2124
450	26309.70972	39469.98124
451	26276.37653	39423.4557
452	26245.54716	39384.15195
453	26209.87412	39338.813
454	26173.8118	39291.80433
455	26140.04633	39246.17259
456	26105.30978	39198.13487
457	26072.48815	39154.51552
458	26041.01645	39113.24467
459	26008.18306	39070.00113
460	25976.46271	39023.75706
461	25945.22125	38983.85524
462	25908.12484	38933.45469
463	25875.41826	38890.10565
464	25841.81059	38847.45393
465	25806.32282	38800.90775
466	25775.56552	38758.12562
467	25741.881	38714.84046
468	25712.46109	38676.07091
469	25682.27189	38634.00867
470	25651.68115	38586.67139
471	25619.40635	38547.90167
472	25588.86006	38506.44696
473	25561.5271	38469.08856
474	25534.47834	38429.09838
475	25502.97833	38385.40682
476	25470.8152	38345.76884
477	25441.79043	38303.52142
478	25410.74715	38263.75524
479	25375.97476	38217.5767
480	25346.07138	38179.22246
481	25317.80556	38139.12291
482	25289.63154	38099.50551
483	25259.56797	38057.29737
484	25226.87518	38012.67679
485	25197.93905	37973.53203
486	25167.42	37934.10325
487	25137.92375	37895.52186
488	25110.02452	37856.88725
489	25078.30056	37814.79096
490	25043.13766	37771.31893
491	25015.58772	37730.14931
492	24984.7998	37689.20884
493	24949.48248	37643.58038
494	24926.22121	37609.29572
495	24895.37857	37569.09477
496	24868.40704	37532.06022
497	24843.46821	37498.03003
498	24819.1747	37459.12943
499	24789.9481	37418.61747
500	24760.05369	37376.19037
501	24728.49821	37337.45104
502	24704.26083	37300.0255
503	24674.50454	37258.7822
504	24643.4965	37214.82924
505	24614.14367	37176.33393
506	24587.84162	37139.76252
507	24558.5714	37097.2758
508	24525.51101	37058.0618
509	24497.71876	37019.5021
510	24467.31208	36980.91156
511	24441.52656	36946.14121
512	24415.2312	36910.08073
513	24386.32529	36873.17318
514	24361.76134	36839.8624
515	24336.32158	36804.05986
516	24311.3785	36774.39818
517	24282.0314	36737.84949
518	24254.74212	36701.46511
519	24226.28154	36660.28632
520	24201.2649	36624.40113
521	24172.86605	36585.94519
522	24147.77735	36551.333
523	24121.48194	36516.41334
524	24094.85856	36475.52331
525	24067.68132	36438.19096
526	24043.08916	36400.33254
527	24014.15931	36363.40022
528	23985.14028	36324.59617
529	23960.23134	36288.92587
530	23937.86736	36255.6124
531	23909.8443	36218.39139
532	23882.51288	36181.87114
533	23856.74283	36147.25809
534	23829.61832	36111.55718
535	23802.41861	36076.01512
536	23773.83956	36037.17722
537	23752.21734	36005.49931
538	23726.48111	35968.29576
539	23700.90521	35934.46149
540	23672.99411	35898.73061
541	23648.76635	35867.44055
542	23621.25848	35829.64437
543	23596.94315	35793.66467
544	23572.17464	35757.43094
545	23546.25	35720.79954
546	23519.28964	35685.86774
547	23493.45362	35652.63521
548	23467.0501	35616.50226
549	23442.0344	35582.88758
550	23417.68668	35550.25861
551	23390.96434	35513.94842
552	23368.40004	35482.63975
553	23346.65527	35449.5586
554	23319.69117	35415.93939
555	23293.3627	35380.42412
556	23265.54204	35345.16699
557	23242.75942	35309.72492
558	23218.43756	35274.95636
559	23191.95699	35239.0557
560	23172.23326	35205.87769
561	23148.40017	35170.60859
562	23121.27962	35136.21556
563	23098.48811	35101.57346
564	23081.16297	35074.64839
565	23055.32914	35039.62168
566	23034.80795	35007.07119
567	23008.65132	34971.49551
568	22988.31004	34941.3207
569	22970.79929	34912.01477
570	22953.23889	34885.15628
571	22930.26585	34853.14986
572	22906.44707	34821.42162
573	22883.12944	34785.80666
574	22863.05622	34755.80134
575	22844.64287	34726.27785
576	22821.96837	34696.95507
577	22797.73974	34661.19647
578	22773.02409	34627.46833
579	22752.21168	34593.38819
580	22732.26857	34564.00376
581	22707.08714	34529.03595
582	22684.9627	34498.82631
583	22661.26755	34466.00616
584	22639.74284	34433.89519
585	22618.8126	34406.22554
586	22600.43268	34377.54176
587	22581.12526	34348.34572
588	22561.62895	34319.72489
589	22545.09197	34292.25719
590	22520.14739	34259.91865
591	22499.54267	34231.27007
592	22476.7389	34199.66274
593	22454.94384	34165.41656
594	22434.33829	34134.51132
595	22413.27678	34104.45122
596	22390.88261	34071.48742
597	22369.10128	34040.55741
598	22347.52825	34006.79836
599	22322.13686	33970.68764
600	22301.09529	33940.07634
601	22279.51883	33910.11484
602	22256.92288	33880.42589
603	22234.5263	33850.8821
604	22210.21187	33814.05806
605	22191.33647	33783.4978
606	22168.46637	33750.16781
607	22149.83971	33718.78021
608	22129.33701	33687.45678
609	22111.30953	33658.36975
610	22090.68197	33626.17794
611	22067.81619	33593.58398
612	22048.85993	33561.39769
613	22032.34339	33536.42355
614	22012.44816	33507.94928
615	21992.84388	33480.20122
616	21976.75118	33458.65652
617	21956.78647	33430.2878
618	21934.90499	33399.77373
619	21913.9487	33369.07779
620	21894.02493	33339.64682
621	21873.39404	33310.35766
622	21853.34721	33281.1554
623	21832.03261	33247.64912
624	21811.76725	33216.46384
625	21791.23509	33187.65002
626	21771.35969	33159.03218
627	21751.9738	33130.16591
628	21736.80506	33105.56195
629	21715.65069	33074.37557
630	21692.20797	33041.66487
631	21676.57763	33014.85506
632	21660.69793	32990.96623
633	21640.48598	32961.93511
634	21621.94553	32933.40364
635	21604.23246	32907.01164
636	21584.61627	32875.22301
637	21568.7924	32850.01083
638	21547.23696	32820.41605
639	21528.48034	32790.71085
640	21507.85755	32760.48222
641	21489.64162	32732.82576
642	21469.46855	32704.79874
643	21452.65089	32679.03058
644	21433.34742	32651.5483
645	21420.62465	32628.12413
646	21407.43704	32607.28692
647	21390.91815	32583.49782
648	21373.95936	32559.56485
649	21354.02594	32532.56805
650	21337.22587	32505.25031
651	21321.81477	32481.10476
652	21307.16814	32453.203
653	21290.4219	32424.85469
654	21275.15499	32400.99914
655	21256.04551	32374.41451
656	21239.23574	32350.50563
657	21221.33976	32321.43656
658	21204.11788	32295.5178
659	21188.40658	32272.77495
660	21170.61317	32245.92513
661	21151.61083	32217.71517
662	21133.1222	32187.24966
663	21116.87394	32161.18535
664	21100.50444	32137.95448
665	21082.05827	32111.73907
666	21065.2306	32086.20717
667	21049.59036	32060.68406
668	21031.05331	32033.99795
669	21015.88536	32012.30081
670	20999.34903	31986.63226
671	20984.26145	31961.8234
672	20968.97969	31936.82365
673	20954.07177	31912.72208
674	20937.00615	31886.7152
675	20920.01865	31858.56127
676	20904.03698	31831.38639
677	20886.33419	31801.44007
678	20868.18852	31774.2733
679	20850.93049	31747.80144
680	20833.29588	31720.3906
681	20818.91095	31693.83859
682	20800.76068	31668.8383
683	20785.78645	31643.20639
684	20770.53851	31620.01153
685	20754.33997	31596.48776
686	20740.40718	31572.65424
687	20722.37567	31549.7636
688	20708.16727	31525.90595
689	20693.94927	31503.52848
690	20678.84041	31478.21986
691	20662.17269	31451.23523
692	20648.58061	31429.71964
693	20633.48263	31406.29599
694	20621.52507	31384.42345
695	20603.07498	31357.71175
696	20586.60466	31334.32255
697	20570.42636	31311.87971
698	20556.37225	31290.40226
699	20541.78061	31268.73786
700	20526.32636	31245.24807
701	20514.09948	31225.48596
702	20500.63048	31201.62454
703	20484.07808	31175.72725
704	20465.77807	31147.58156
705	20451.19524	31122.75385
706	20434.95721	31097.35703
707	20418.23282	31072.43473
708	20401.57386	31049.6326
709	20386.80532	31025.53169
710	20370.28186	31002.33642
711	20355.26557	30975.8867
712	20344.72788	30955.75193
713	20329.54896	30935.05158
714	20314.16409	30912.10363
715	20298.641	30889.84982
716	20282.57725	30868.04188
717	20269.25966	30846.73522
718	20254.59962	30824.94771
719	20239.3151	30798.30013
720	20223.5848	30773.07613
721	20209.52539	30752.33558
722	20195.53134	30730.59096
723	20183.53797	30709.74858
724	20169.61938	30686.23284
725	20158.62429	30665.74784
726	20144.5783	30645.27347
727	20130.50126	30622.40759
728	20115.25834	30599.54719
729	20101.63661	30577.03674
730	20089.38185	30559.78055
731	20074.88084	30537.36209
732	20061.81536	30515.47204
733	20049.48682	30492.62936
734	20036.659	30471.74044
735	20022.53887	30450.19013
736	20006.36318	30427.833
737	19994.22753	30407.44648
738	19982.52969	30388.56307
739	19967.0367	30361.69632
740	19953.46325	30339.65995
741	19940.28636	30318.61884
742	19926.86778	30297.50777
743	19913.73	30276.59983
744	19897.66174	30254.338
745	19883.12197	30233.19012
746	19870.29947	30213.02579
747	19857.94083	30193.09472
748	19845.2287	30170.7817
749	19833.07069	30152.13362
750	19818.72406	30131.90736
751	19807.48461	30112.89105
752	19792.44478	30088.86775
753	19778.11656	30066.20404
754	19765.00235	30046.84181
755	19752.18282	30026.09436
756	19737.03906	30002.92729
757	19722.64249	29983.96173
758	19708.68401	29960.85578
759	19694.10738	29938.89579
760	19680.19674	29916.92337
761	19667.17533	29896.58635
762	19652.43092	29874.8246
763	19640.63716	29855.32896
764	19626.51961	29833.64131
765	19612.45912	29811.16106
766	19599.00127	29787.76782
767	19587.30784	29766.19794
768	19572.86634	29742.98843
769	19560.33704	29724.98351
770	19548.02676	29705.50649
771	19535.9517	29686.8888
772	19525.72294	29666.93455
773	19511.13257	29642.91847
774	19498.88557	29624.56641
775	19487.84791	29608.89532
776	19476.34449	29592.2729
777	19462.64219	29572.8635
778	19447.45552	29550.41082
779	19434.22308	29529.84158
780	19421.83187	29507.81361
781	19410.75124	29492.05531
782	19398.97645	29471.53606
783	19383.76326	29450.43508
784	19370.94913	29431.93778
785	19359.08957	29410.64408
786	19348.08734	29391.11912
787	19334.70853	29371.03673
788	19323.59781	29353.84964
789	19313.92512	29335.15558
790	19301.69362	29314.98277
791	19287.08354	29293.97154
792	19277.17892	29276.18855
793	19265.0109	29254.02932
794	19251.58985	29234.77112
795	19239.37931	29213.88401
796	19227.12253	29197.50466
797	19213.70168	29174.26747
798	19202.77953	29156.8837
799	19191.24163	29137.07313
800	19178.79856	29118.25028
801	19164.62056	29096.30014
802	19152.00365	29080.13948
803	19139.08078	29060.24213
804	19126.84725	29038.43595
805	19115.34768	29021.45591
806	19105.95174	29006.13384
807	19095.03574	28990.20695
808	19083.28111	28972.78106
809	19070.90369	28954.30729
810	19057.07268	28932.49464
811	19044.85012	28915.22654
812	19033.51715	28897.32651
813	19023.68527	28881.86052
814	19011.18621	28862.34953
815	18997.58052	28840.92925
816	18989.68751	28822.60247
817	18979.54213	28802.86788
818	18970.29077	28787.14356
819	18958.52544	28769.6443
820	18948.31225	28754.05468
821	18936.85412	28735.28008
822	18927.08304	28715.96354
823	18915.86462	28697.13513
824	18905.59846	28681.08867
825	18895.54814	28664.0848
826	18886.76452	28648.6905
827	18875.70559	28631.08734
828	18862.86207	28612.29726
829	18853.14277	28596.41201
830	18841.78105	28578.58711
831	18830.43904	28560.01807
832	18818.49684	28542.09293
833	18806.64964	28524.54826
834	18795.62569	28509.16819
835	18787.07249	28491.32718
836	18776.11977	28474.63869
837	18767.53246	28458.91566
838	18757.9263	28442.89824
839	18746.94859	28425.38506
840	18736.55831	28406.93816
841	18728.29678	28393.03152
842	18720.203	28381.08252
843	18708.63678	28363.06852
844	18697.97438	28344.98026
845	18688.28091	28326.59684
846	18677.69089	28307.72125
847	18669.07831	28291.96079
848	18660.191	28275.75322
849	18648.89823	28256.33165
850	18635.40831	28237.4353
851	18627.47573	28222.34468
852	18614.93287	28202.29972
853	18606.78992	28185.05238
854	18597.45125	28168.64332
855	18588.15046	28151.60659
856	18579.86095	28136.02028
857	18568.33266	28119.25106
858	18557.41109	28101.32963
859	18544.00607	28080.19691
860	18535.346	28066.00044
861	18525.81199	28049.23697
862	18513.77314	28032.44136
863	18502.12458	28012.48039
864	18491.71744	27994.09771
865	18481.24672	27976.79034
866	18472.1778	27960.25873
867	18464.22043	27945.39918
868	18455.22784	27930.14069
869	18445.03355	27913.47443
870	18436.13758	27898.07175
871	18425.7874	27881.93075
872	18418.43911	27866.34019
873	18406.48115	27847.59392
874	18395.9594	27829.99341
875	18387.71535	27813.82111
876	18379.74555	27798.60207
877	18371.03142	27782.19717
878	18361.02922	27766.13485
879	18350.96536	27750.52405
880	18339.68166	27733.2466
881	18330.4265	27718.36303
882	18319.35944	27700.3667
883	18310.34077	27683.99521
884	18300.22892	27667.63531
885	18291.18097	27652.43033
886	18281.4547	27636.79388
887	18273.87717	27622.26676
888	18263.8882	27604.29188
889	18251.33115	27585.4181
890	18243.07755	27571.40165
891	18232.59679	27555.82565
892	18222.75358	27539.78225
893	18212.97381	27524.42332
894	18204.52742	27509.82174
895	18198.52943	27495.39421
896	18189.76473	27479.14775
897	18180.3853	27464.61036
898	18170.80235	27447.97971
899	18162.9192	27431.5622
900	18154.71839	27414.66175
901	18142.68403	27395.71074
902	18137.45328	27383.95903
903	18126.48417	27366.2534
904	18118.87143	27352.36817
905	18109.95739	27338.71743
906	18098.53895	27322.43796
907	18088.36476	27307.8266
908	18078.78698	27293.51119
909	18069.84968	27278.56993
910	18059.65488	27261.15567
911	18051.87718	27248.24551
912	18043.02796	27234.04523
913	18033.8674	27216.26148
914	18025.22759	27198.04421
915	18016.57316	27181.92052
916	18006.44632	27166.25475
917	17997.19128	27152.7635
918	17987.22039	27137.91666
919	17975.30259	27122.03489
920	17968.93101	27109.22459
921	17959.44385	27093.28323
922	17949.54081	27078.30294
923	17941.5997	27064.46774
924	17932.56622	27049.35317
925	17925.44926	27037.17871
926	17913.26106	27019.47909
927	17907.19547	27006.55494
928	17897.84597	26993.16227
929	17889.22284	26977.8295
930	17881.23603	26961.90966
931	17874.4201	26949.40424
932	17864.74051	26934.30438
933	17857.6083	26921.67153
934	17847.60067	26903.89562
935	17840.17104	26890.87742
936	17833.91246	26878.51564
937	17825.35885	26863.61207
938	17817.32873	26848.96057
939	17810.73774	26834.20119
940	17804.09567	26819.78256
941	17796.60867	26805.63476
942	17788.46348	26790.65454
943	17781.59188	26779.45971
944	17770.92899	26762.34674
945	17764.23652	26748.74746
946	17756.65128	26734.56681
947	17750.86345	26725.10379
948	17744.60066	26712.55044
949	17738.72491	26701.72562
950	17729.77513	26688.20426
951	17722.54844	26674.85206
952	17712.43989	26657.60308
953	17703.97356	26644.91027
954	17695.87735	26631.94937
955	17689.06751	26616.72359
956	17680.74936	26603.70441
957	17672.11244	26590.23853
958	17662.98732	26575.94836
959	17652.25685	26559.24937
960	17643.13935	26545.46558
961	17631.53803	26529.83943
962	17620.36669	26513.04564
963	17613.2813	26498.75851
964	17607.24973	26486.69621
965	17600.15439	26475.17913
966	17595.16735	26464.68881
967	17585.7011	26449.64095
968	17576.75773	26436.35576
969	17567.3347	26421.86007
970	17558.66043	26407.00612
971	17549.13305	26392.18027
972	17541.57546	26378.78877
973	17533.94159	26367.24063
974	17524.68487	26350.49947
975	17518.10892	26337.43217
976	17512.11549	26323.23067
977	17501.81546	26306.08381
978	17495.32357	26293.14227
979	17488.49497	26281.55788
980	17482.76253	26269.44615
981	17474.71157	26256.89352
982	17464.05834	26242.02458
983	17458.12242	26230.00686
984	17451.32739	26217.78679
985	17442.09925	26203.17489
986	17435.71492	26191.57155
987	17428.12931	26178.13401
988	17421.41265	26167.61468
989	17412.43489	26152.57647
990	17405.43402	26140.84985
991	17396.40361	26127.05462
992	17390.58269	26116.41244
993	17380.00756	26102.98815
994	17373.33371	26090.01827
995	17365.40084	26078.18076
996	17358.19312	26065.82444
997	17349.28006	26051.96406
998	17343.89883	26041.55901
